"product_id","category_id","product_name","product_description","price","brand","registration_date"
"GNZuCtwed3",1,"Amazing heater","This Innovative is one of a kind. It offers unparalleled performance and convenience.",326.83,"SonicPlus",2022-07-16
"CAgNlUizNm",1,"Portable heater","This Innovative is one of a kind. It offers unparalleled performance and convenience.",282.43,"EcoDrive",2023-12-24
"vDe7GN0NrL",1,"Eco-friendly Refridgerator","This Eco-friendly is one of a kind. It offers unparalleled performance and convenience.",803.88,"NextGen",2023-10-20
"TbUBpfn6iP",1,"Innovative microwave","This Wireless is one of a kind. It offers unparalleled performance and convenience.",112.98,"TechGuru",2022-08-14
"oemYWm1Tjg",1,"Essential Refridgerator","This Wireless is one of a kind. It offers unparalleled performance and convenience.",839.74,"UltraGear",2023-01-04
"TrRF46JWfP",1,"Compact DVD","This Smart is one of a kind. It offers unparalleled performance and convenience.",88.47,"Elevate",2022-12-07
"uISKeFTl5s",1,"Durable DVD","This Smart is one of a kind. It offers unparalleled performance and convenience.",720.39,"EcoDrive",2024-01-13
"LqLKTtrOmx",1,"Wireless microwave","This Compact is one of a kind. It offers unparalleled performance and convenience.",865.97,"UltraGear",2022-03-31
"QiOKkCi7F8",1,"High-quality Refridgerator","This Smart is one of a kind. It offers unparalleled performance and convenience.",978.77,"NextGen",2023-07-05
"E3dsmnSPob",1,"Smart Mobile phone","This Smart is one of a kind. It offers unparalleled performance and convenience.",256.63,"Elevate",2023-09-08
"eLGzdD8Tvb",2,"Amazing tops","This Durable is one of a kind. It offers unparalleled performance and convenience.",34.61,"FutureVision",2023-04-03
"yjMQ90i6Rd",2,"Portable socks","This Portable is one of a kind. It offers unparalleled performance and convenience.",230.75,"SonicPlus",2023-04-14
"zUUAkSVCEa",2,"Eco-friendly socks","This Eco-friendly is one of a kind. It offers unparalleled performance and convenience.",130.81,"EcoDrive",2023-09-27
"Z42dvbYWzV",2,"Innovative shirts","This Wireless is one of a kind. It offers unparalleled performance and convenience.",391.39,"EcoDrive",2022-09-26
"gbEGjSAk6r",2,"Essential ties","This Portable is one of a kind. It offers unparalleled performance and convenience.",93.49,"UltraGear",2023-07-29
"cYKSVBW4HD",2,"Compact sarees","This Durable is one of a kind. It offers unparalleled performance and convenience.",289.76,"TechGuru",2022-09-06
"HtRmsP3KiK",2,"Durable womens wear","This Essential is one of a kind. It offers unparalleled performance and convenience.",570.92,"PrimeTech",2022-03-12
